Name,Code,,
四川九洲,801,,
北京文化,802,,
金宇车城,803,,
*ST炎黄,805,,
银河生物,806,,
云铝股份,807,,
铁岭新城,809,,
创维数字,810,,
烟台冰轮,811,,
陕西金叶,812,,
天山纺织,813,,
*ST美利,815,,
智慧农业,816,,
辽河油田,817,,
方大化工,818,,
岳阳兴长,819,,
金城股份,820,,
京山轻机,821,,
山东海化,822,,
超声电子,823,,
太钢不锈,825,,
桑德环境,826,,
*ST长兴,827,,
东莞控股,828,,
天音控股,829,,
鲁西化工,830,,
五矿稀土,831,,
*ST龙涤,832,,
贵糖股份,833,,
长城动漫,835,,
鑫茂科技,836,,
秦川机床,837,,
国兴地产,838,,
中信国安,839,,
承德露露,848,,
华茂股份,850,,
高鸿股份,851,,
石化机械,852,,
冀东装备,856,,
五粮液,858,,
国风塑业,859,,
顺鑫农业,860,,
海印股份,861,,
银星能源,862,,
三湘股份,863,,
扬子石化,866,,
安凯客车,868,,
张裕A,869,,
吉电股份,875,,
新希望,876,,
天山股份,877,,
云南铜业,878,,
潍柴重机,880,,
大连国际,881,,
华联股份,882,,
湖北能源,883,,
同力水泥,885,,
海南高速,886,,
中鼎股份,887,,
峨眉山A,888,,
茂业通信,889,,
法尔胜,890,,
*ST星美,892,,
东凌粮油,893,,
双汇发展,895,,
津滨发展,897,,
鞍钢股份,898,,
赣能股份,899,,
现代投资,900,,
航天科技,901,,
新洋丰,902,,
云内动力,903,,
厦门港务,905,,
物产中拓,906,,
景峰医药,908,,
数源科技,909,,
大亚科技,910,,
南宁糖业,911,,
*ST天化,912,,
钱江摩托,913,,
山大华特,915,,
华北高速,916,,
电广传媒,917,,
嘉凯城,918,,
金陵药业,919,,
南方汇通,920,,
海信科龙,921,,
佳电股份,922,,
河北宣工,923,,
众合科技,925,,
福星股份,926,,
*ST夏利,927,,
中钢国际,928,,
兰州黄河,929,,
中粮生化,930,,
中关村,931,,
华菱钢铁,932,,
神火股份,933,,
四川双马,935,,
华西股份,936,,
冀中能源,937,,
紫光股份,938,,
凯迪生态,939,,
南天信息,948,,
新乡化纤,949,,
建峰化工,950,,
中国重汽,951,,
广济药业,952,,
河池化工,953,,
欣龙控股,955,,
中原油气,956,,
中通客车,957,,
东方能源,958,,
首钢股份,959,,
锡业股份,960,,
中南建设,961,,
东方钽业,962,,
华东医药,963,,
天保基建,965,,
长源电力,966,,
上风高科,967,,
煤气化,968,,
安泰科技,969,,
中科三环,970,,
蓝鼎控股,971,,
新中基,972,,
佛塑科技,973,,
银泰资源,975,,
*ST春晖,976,,
浪潮信息,977,,
桂林旅游,978,,
中弘股份,979,,
金马股份,980,,
银亿股份,981,,
中银绒业,982,,
西山煤电,983,,
大庆华科,985,,
广州友谊,987,,
华工科技,988,,
九芝堂,989,,
诚志股份,990,,
通海高科,991,,
闽东电力,993,,
*ST皇台,995,,
中国中期,996,,
新大陆,997,,
隆平高科,998,,
华润三九,999,,
宗申动力,1696,,
豫能控股,1896,,
新和成,2001,,
鸿达兴业,2002,,
伟星股份,2003,,
华邦健康,2004,,
德豪润达,2005,,
精功科技,2006,,
华兰生物,2007,,
大族激光,2008,,
天奇股份,2009,,
传化股份,2010,,
盾安环境,2011,,
凯恩股份,2012,,
中航机电,2013,,
永新股份,2014,,
*ST霞客,2015,,
世荣兆业,2016,,
东信和平,2017,,
华信国际,2018,,
亿帆鑫富,2019,,
京新药业,2020,,
中捷资源,2021,,
科华生物,2022,,
海特高新,2023,,
苏宁云商,2024,,
航天电器,2025,,
山东威达,2026,,
七喜控股,2027,,
思源电气,2028,,
七匹狼,2029,,
达安基因,2030,,
巨轮智能,2031,,
苏泊尔,2032,,
丽江旅游,2033,,
美欣达,2034,,
华帝股份,2035,,
汉麻产业,2036,,
久联发展,2037,,
双鹭药业,2038,,
黔源电力,2039,,
南京港,2040,,
登海种业,2041,,
华孚色纺,2042,,
兔宝宝,2043,,
江苏三友,2044,,
国光电器,2045,,
轴研科技,2046,,
宝鹰股份,2047,,
宁波华翔,2048,,
同方国芯,2049,,
三花股份,2050,,
中工国际,2051,,
